Departamento - Clave;Departamento
0015;Alfombras
0806;Artículos Impulso
0007;Artículos Navideños
0025;Automotriz
0008;Baños
0011;Bebes
0002;Blancos
0005;Cocina
0042;Cortinaje
2250;Decoracion
0022;Eléctricos
0003;Electrodomésticos
0058;Electronica
0026;Ferretería
2251;Guatemala nuestra
0023;Herramientas
0027;Jardinería
0001;Juguetes
0010;Lámparas
0012;Librería
0030;Limpieza
2248;Mascotas
0050;Materiales de Construcción
0004;Mesa
0059;Muebles de Exterior
2249;Muebles de Interior
0807;Niños
0009;Organización
0028;Out Door Living
0021;Pinturas
0024;Plomería
2247;Seguridad
